Ref|Numero_dossier|Comite|Code_entreprise|Materiel|Resume|Adresse_pdf|Metier|Sexe|Age|Type_accident|Blessure|Deces|Circulation|Malaise|Suicide|Machine|Cause|Zone|Status|Zone_precise|Zone.Zone|Zone.Zone_NA
https://epicea.inrs.fr/servlet/public_display?unid=F6A7D66A9205C11FC12576F70034C135|22102|D - Services, commerces et industries de l'alimentation|157AB - Malterie, meunerie, fabrication de pâtes alimentaires et semoule|130152 - Silo, accumulateur de matière|"La victime, un conducteur de ligne de 49 ans, chargeait des cosses de sarrasin venant du silo de stockage dans un camion. Avant de partir, le chef d'équipe lui a demandé de nettoyer le silo après sa vidange.
Cette opération de nettoyage est effectuée en cas de changement de produit dans le silo, environ une fois par an.
Les cosses sont stockées dans un silo au fond duquel une vis sans fin tourne afin de les rassembler et de les amener vers une trappe centrale. Elles sont ensuite dirigées vers le camion via une vis de transfert et un élévateur.
La victime est entrée à l'intérieur du silo par une trappe située sur le côté à 2,60 m du sol (seul accès existant au silo).
Le moteur électrique d'entraînement de la vis n'a pas été arrêté.
Il restait au fond du silo environ 50 cm de cosses, soit environ 30 min avant la vidange complète du silo.
Le salarié a commencé à balayer les parois verticales du silo, est passé une fois par dessus la vis en mouvement. Sa jambe a été happée par la vis au deuxième passage de la vis."|[]|conducteur de ligne|Homme|49.0|happement|jambe emportée par vis sans fin|Non|Non|Non|Non|silo|nettoyage du silo avant vidange, vis sans fin en mouvement|jambe|Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=0506BF1A8B174CF4C125719D0054006D|13402|D - Services, commerces et industries de l'alimentation|157AB - Malterie, meunerie, fabrication de pâtes alimentaires et semoule|130152 - Silo, accumulateur de matière|La victime est un homme de 30 ans, électricien. Elle devait effectuer le contrôle de fermeture des trappes d'un germoir (silo) dans une malterie. Elle s'est glissée dans le tube central d'évacuation des grains du silo, a actionné le fin de course haut du vérin qui commande le cylindre de fermeture. Le mode de commande de la fermeture des trappes était resté en automatique (et non en manuel comme il aurait dû être mis dans la procédure de consignation), les chandelles empêchant la fermeture n'étant pas mises en place. Le cylindre est descendu sous la pression du vérin et a écrasé la victime.|[]|électricien|Homme|30.0|Écrasement|Mort|Oui|Non|Non|Non|germoir, silo|Manque de précautions, Mode manuel non activé||Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=325380A46A0859E5C125719D0055E091|17959|D - Services, commerces et industries de l'alimentation|157AB - Malterie, meunerie, fabrication de pâtes alimentaires et semoule|050403 - Vanne - robinet - joint|La victime - 55 ans, conducteur d'installation de fabrication d'aliments du bétail - commençait à ouvrir la vanne principale d'alimentation de vapeur sèche des presses de son poste de travail quand celle-ci s'est rompue. La vanne s'est fendue en deux sans projection d'éclat et il y a une projection violente de vapeur vers l'ouvrier. Atteinte de brûlures sur toute la partie gauche du corps et de fracture de la mâchoire, la victime est acheminée par hélicoptère à un centre hospitalier approprié.|[]|conducteur d'installation de fabrication d'aliments du bétail|Homme|55.0|Rupture|Brûlures, Fracture|Non|Non|Non|Non|vanne principale d'alimentation de vapeur sèche des presses|Rupture inattendue||Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=72B2EC45646DF8A6C125719D0054525A|14032|E - Chimie, caoutchouc, plasturgie|244CB - Fabrication de produits de base pour la pharmacie, d'alcaloïdes, de glucosides et dérivés, de produits extraits des algues. Fabrication de spécialités pharmaceutiques|110125 - Conditionneuse : machine à emballer, empaqueter par film plastique|La victime, 45 ans, ouvrière de conditionnement, travaille dans l'atelier de colisage sur une machine semi-automatique de type ***. L'opération consiste à établir des plaquettes cartonnées présentant sous une coque en plastique, un objet du domaine paramédical, en l'occurrence une paire de ciseaux. A la suite d'une manipulation hâtive, une paire de ciseaux et une coque sont tombées dans la machine. Voulant rattraper les objets, dans un geste réflexe, l'opératrice tarda un peu, et sa main droite fut coincée entre la machine et une plaque de plastique. Une personne travaillant sur la table proche intervint et arrêta la machine. Hospitalisée, la victime souffre de contusions à la main et au poignet droits.|[]|ouvrière de conditionnement|Femme|45.0|Chute|Contusions|Non|Non|Non|Non|machine semi-automatique|Manipulation hâtive|main|Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=6193804EFC36F1FDC125719D0052AD5E|9400|D - Services, commerces et industries de l'alimentation|158VB - Industries alimentaires non classées par ailleurs|050902 - Camion-citerne|La victime - ouvrier meunier, âgé de 46 ans - était montée sur la citerne du camion pour y effectuer un chargement de farine panifiable. Alors qu'elle manipulait le flexible de chargement à l'aide d'une ficelle, celle-ci s'est rompue sous l'effet de traction exercée par la victime, qui, surprise, est tombée au sol 3 m plus bas. L'ouvrier n'a pu être retenu par la rambarde de protection, celle-ci n'étant pas en place.|[]|ouvrier meunier|Homme|46.0|Chute|Tombeau de 3 m|Non|Non|Non|Non|camion|ficelle rompue, effet de traction|posterieur|Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=1AAF28FDDE58EEEDC125719D0052930F|9201|E - Chimie, caoutchouc, plasturgie|274CG - Electrométallurgie et électrochimie associées. Métallurgie de l'aluminium et des autres métaux légers. Fabrication d'électrodes pour l'électrométallurgie et l'électrochimie en graphite, carbone amorphe, de charbon artificiel à usage électrique, d'abrasifs appliqués, de carbure de calcium et silicium, de siliciure de calcium et de corindon artificiel|510210 - Toiture en matériaux fragiles (verrières, etc.)|La victime - chef d'équipe de 53 ans, ancien professionnel du bâtiment - installait avec un collègue, des plaques en matériaux fragiles servant de toiture à une nouvelle construction. Au moment de l'accident, la victime, montée sur le toit, s'est déplacée pour assurer la mise en place des écrous depuis l'extérieur. Son collègue, occupé à lui préparer des crochets, a entendu le bruit de la chute de l'élément d'une plaque sur le sol. Se retournant, il a vu la victime étendue sur le sol près de l'escalier et blessée. Conséquences : fractures, contusions, traumatisme à la tête, au bras et au thorax de la victime.|[]|ancien professionnel du bâtiment|Homme|53.0|Chute|fractures, contusions, traumatisme|Non|Non|Non|Non|plaques en matériaux fragiles|occupé à préparer des crochets||Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=D1408F0BA179F2E0C125719D00540154|13415|D - Services, commerces et industries de l'alimentation|157AB - Malterie, meunerie, fabrication de pâtes alimentaires et semoule|050910 - Remorque citerne sur route|La victime, chauffeur, âgée de 56 ans, a retiré son camion de dessous la trémie et a fermé et verrouillé chaque trou d'homme. A l'aide d'une lance haute-pression, elle a nettoyé toute la salissure due aux poussières d'aliments pour animaux déposées lors du chargement sur toute la partie supérieure du camion citerne. Ce travail terminé, la victime est revenu vers l'arrière de la citerne tenant dans une main la lance haute-pression. Elle a commencé à descendre l'échelle. A cet instant ou juste avant d'aborder la descente, elle a replié le garde-corps équipant la passerelle supérieure. Au cours de la descente, la victime devait maintenir la lance avec une main et c'est dans ce parcours qu'elle a fait une chute en arrière et a été retrouvée sur le sol de l'autre côté du muret de 30 cm de haut, les jambes sur celui-ci. La victime a été hospitalisée.|[]|Chauffeur|Femme|56.0|Chute|Contusion|Non|Non|Non|Non|Camion|Nettoyage|jambe|Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=BAE6F51920BF5558C125719D0055F0E6|18167|D - Services, commerces et industries de l'alimentation|158VB - Industries alimentaires non classées par ailleurs|490206 - Émanation gazeuse|La victime - 20 ans, en contrat de qualification pour un BTS maintenance - a pénétré dans une cuve de fermentation utilisée pour la fabrication de ferments lactiques afin de récupérer un couvercle de boîte tombé inopinément. Elle a été asphyxiée et a perdu connaissance, la cuve étant en atmosphère saturée en azote (sans oxygène). L'installation était en phase de nettoyage avant redémarrage d'une production. Un collègue SST passant à proximité décide de descendre également dans la cuve pour secourir la victime mais est également pris d'un malaise. Juste avant, le collègue de la victime était descendu pour récupérer le couvercle mais était remonté rapidement car il s'était trouvé incommodé. L'alerte est donnée. De l'air comprimé est injecté par le haut et par le bas pour purger la cuve. La victime et le collègue SST auraient recommencé à bouger avant l'arrivée des pompiers. Le collègue SST a repris connaissance en sortant de la cuve, la victime seulement à l'hôpital. Une canne est à disposition pour retirer les objets de la cuve mais n'a pas été utilisée. Des masques filtrant l'ammoniac sont également à disposition mais n'ont pas été utilisés et n'étaient pas adaptés à la situation.|['https://epicea.inrs.fr//EPICEA/epicea.nsf/0/BAE6F51920BF5558C125719D0055F0E6/$FILE/Arbre des causes.pdf']|Technicien de maintenance|Femme|20.0|Asphyxie|Asphyxie, Perte de connaissance|Non|Non|Oui|Non|Cuve de fermentation|Chute accidentelle, Absence d'oxygène||Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=0BA603CFE836A5ABC125719D00544524|13937|E - Chimie, caoutchouc, plasturgie|244CB - Fabrication de produits de base pour la pharmacie, d'alcaloïdes, de glucosides et dérivés, de produits extraits des algues. Fabrication de spécialités pharmaceutiques|051402 - Voiture|La victime, âgée de 48 ans, est employé d'une société de fabrication de spécialités pharmaceutiques. La victime, en mission professionnelle, se rendait en taxi à l'aéroport pour prendre un avion. Une collision s'est produite entre le taxi et un poids lourd et la victime a trouvé la mort au court de cet accident.|[]|fabrication de spécialités pharmaceutiques|Homme|48.0|collision|décédé|Oui|Non|Non|Non|taxi, poids lourd|circonstance extérieure||Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=8BF22A38326A1503C125719D0055E286|17984|E - Chimie, caoutchouc, plasturgie|244CB - Fabrication de produits de base pour la pharmacie, d'alcaloïdes, de glucosides et dérivés, de produits extraits des algues. Fabrication de spécialités pharmaceutiques|490203 - Accumulation, concentration d'autres gaz|Lors d'une intervention sur une pompe dans un puisard collectant du jus de compostage de déchets d'algues, deux ouvriers - dont la victime âgée 45 ans - ont été retrouvés morts sous 2,50 mètres d'eau. On suppose que l'un d'entre eux, descendu dans le puisard a eu un malaise dû à l'inhalation de sulfure d'hydrogène et que le deuxième salarié voulant lui porter secours s'est affaissé lui aussi. Ils ont succombé ensuite par intoxication ou asphyxie, le puisard s'étant rempli de boue, après leur perte de connaissance. Causes : intervention dans un espace confiné avec présence de sulfure d'hydrogène, avec comme protection un masque à poussières et sans connaissance du risque. Conception de l'installation : nécessité de descendre dans le puisard pour installer la pompe. Méconnaissance de la présence de sulfure d'hydrogène et du risque en résultant.|[]|Technicien de maintenance|Homme|45.0|Noyade||Oui|Non|Oui|Non|pompe, puisard|Sulfure d'hydrogène, Absence de masque à gaz||Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=7CE49AF2F582403CC125719D00537F83|11664|G - Commerce non alimentaire|514NA - Commerce de gros de produits pharmaceutiques|051402 - Voiture|La victime, âgée de 34 ans, de sexe féminin, déléguée médicale, circulait en voiture pour effectuer sa tournée. Surprise par des travaux, elle a dû donner un coup de volant et s'est trouvée déportée sur un semi-remorque roulant en face. La victime est décédée.|[]|déléguée médicale|Femme|34.0|Choc routier|Décédée|Oui|Non|Non|Non|voiture|Travaux||Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=A410305460F59008C125719D0051DAE2|7498|E - Chimie, caoutchouc, plasturgie|241GM - Chimie organique de synthèse (de produits non désignés ailleurs). Fabrication de pigments minéraux, de compositions de base de pigments, de compositions et couleurs vitrifiables pour émaux, de chlorure / soude électrolytique, lessive soude électrolytique, de chlorure / sodium (électrolyse ignée), de charbons actifs pour filtres, de noir animal, de charbon animal, d'acide sulfurique et dérivés, de produits minéraux divers, d'acide tartrique, citrique et dérivé, de papier carbone, stencils. Salines ignigènes. Dénaturation d'alcool éthylique|290128 - Autre type de séchoir|"L'accident a eu lieu dans un atelier de fabrication d'une entreprise produisant des charbons actifs pour filtres. La victime - chef d'équipe, âgé de 41 ans, de sexe masculin - a été alertée par deux de ses collègues de l'extinction d'un des fours-séchoirs. Elle s'est rendue sur la passerelle du brûleur du séchoir afin de procéder à son réallumage. Il suffisait d'introduire une torche d'allumage pour valider le paramètre ""présence flamme"", d'actionner la commande manuelle de l'électrovanne de sécurité gaz pour provoquer le réallumage du four. C'est au moment de l'ouverture de l'électrovanne-gaz que l'explosion s'est produite. L'hypothèse la plus vraisemblable est qu'une poche de gaz s'était formée dans le corps du séchoir, occasionnant l'explosion. La victime a été brûlée au troisième degré et hospitalisée."|[]|analyste|Homme|41.0|Explosion|Brûlures au troisième degré|Non|Non|Non|Non|four-séchoir|gaz accumulé||Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=94442399144DA790C125719D0051EE14|7704|A - Métallurgie|295EC - Fabrication de machines pour les industries du process (chimie, alimentation, plasturgie, caoutchouc)|290203 - Appareil de cuisson non sous pression|"La victime - monteur-dépanneur, âgé de 36 ans -, lors d'une intervention, recherchait une panne sur un four de pâtisserie. Avant son intervention, elle avait coupé le courant (380 V) sur les sectionneurs de chaque étage au nombre de deux. Elle avait également coupé la télécommande des platines électroniques (24 V) qui assurent la régulation des fours. Puis, elle avait enlevé les panneaux latéraux situés à droite du four, ainsi que les platines frontales. Pendant qu'elle recherchait une éventuelle panne d'origine électrique dans des alvéoles à droite du four, sa main gauche a touché une barre de cuivre sous-tension. La victime n'est pas morte instantanément, le choc électrique lui a provoqué une fibrillation, mais les pompiers n'ont pas réussi à la ranimer. Les causes : le four n'était pas équipé d'un sectionneur général coupant totalement l'arrivée du courant sur la totalité de l'installation électrique et permettant de condamner en position ""ouvert"". Lorsque l'on ôtait les panneaux latéraux, le chemin de barres en cuivre restait sous-tension, même si l'on avait coupé le courant sur les sectionneurs propres à chaque étage de cuisson. Les barres de cuivre n'étaient pas placées sous un cache isolant. L'espace libre entre les barres de cuivre et l'arrière des contacteurs de puissance n'était que de 10 cm. Le jour de l'accident, il était impossible de couper le courant sur le disjoncteur général car le magasin au rez-de-chaussée avait besoin de courant. Le fournil était au au sous-sol et le personnel intervenant sur les différentes machines avait besoin d'éclairage."|[]|monteur-dépanneur|Homme|36.0|Électrocution|Fibrillation cardiaque|Non|Non|Non|Non|Four|Défaut électrique, Manque d'entretien régulier|coeur|Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=01DDB34CC47ACE0BC125719D0052D79D|9736|D - Services, commerces et industries de l'alimentation|157AB - Malterie, meunerie, fabrication de pâtes alimentaires et semoule|150101 - Malaxeur|La victime - 32 ans - est opérateur. Vers 20 h, un bourrage s'est produit sur le malaxeur du polisseur n° 1. Cet incident a eu pour conséquences de provoquer un bourrage sur le malaxeur du deuxième polisseur. Vers 22 h, M. Z a voulu procéder au débourrage du malaxeur n° 2. Il a alors procédé, à l'aide d'un tournevis, au démontage de la goulotte reliant le malaxeur à la vis de gainage. Alors qu'il avait déposé la goulotte sur le sol, il a vu une motte de riz tomber du malaxeur dans la vis de gavage. Pour retirer cette motte, il a plongé la main gauche dans la vis en marche. La main de la victime a été entraînée par la vis et la première phalange des quatre doigts (index, majeur, annulaire, auriculaire) de la main gauche ont été sectionnées.|[]|opérateur|Homme|32.0|bourrage|section des doigts de la main gauche|Non|Non|Non|Non|polisseur|bourrage|main|Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=FB82DB76C25CBF37C125719D00531A94|10252|E - Chimie, caoutchouc, plasturgie|244CB - Fabrication de produits de base pour la pharmacie, d'alcaloïdes, de glucosides et dérivés, de produits extraits des algues. Fabrication de spécialités pharmaceutiques|170630 - Filtre|La victime - technicien conducteur de 33 ans - a trois ans d'ancienneté dans cet atelier. Le jour de l'accident, son travail consiste à soutirer le contenu d'un filtre. La partie liquide à base de toluène est pompée pour être récupérée et former le produit de base. Quant à la partie solide, elle est évacuée et jetée dans des fûts plastiques. Vers 20 h 45, la sirène d'alarme est déclenchée. Un salarié travaillant à proximité voit la victime entourée de flammes. Il prend un jet d'eau et l'arrose pour éteindre les flammes sur les vêtements. La victime souffre de brûlures au tronc, au visage et aux membres inférieurs.|[]|Technicien|Homme|33.0|Feu|Brûlures|Oui|Non|Non|Non|Atelier|Alarme sonnante||Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=24D134CC53888FB2C125719D00510632|4918|D - Services, commerces et industries de l'alimentation|158VB - Industries alimentaires non classées par ailleurs|510210 - Toiture en matériaux fragiles (verrières, etc.)|La victime - 52 ans, conducteur de machines - effectuait, sur la toiture en plaques de fibrociment de l'atelier, la pose d'un joint d'étanchéité autour d'une cheminée. Pour accéder à la cheminée, elle a progressé sur les plaques. Au droit de la cheminée, celle qui la supportait a cédé, la hauteur était de 7,50 m environ. La victime est tombée de 2,50 m sur le sommet d'un appareil, a rebondi, est tombée sur une palette chargée de sacs vides, puis sur une plaque d'isolation amortissant la chute. Conséquences : fracture de deux côtes. Causes probables de l'accident : 1) victime non qualifiée pour ce travail. 2) Méconnaissance des risques découlant de cette activité. 3) Absence d'équipement de prévention. 4) Heure tardive (tombée de la nuit).|[]|conducteur de machines|Homme|52.0|Chute|Fracture de deux côtes|Non|Non|Non|Non|atelier|victime non qualifiée pour ce travail, méconnaissance des risques découlant de cette activité, absence d'équipement de prévention||Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=743DA9F3D13D42B6C125719D00510643|4919|D - Services, commerces et industries de l'alimentation|158VB - Industries alimentaires non classées par ailleurs|210390 - Autre type de presse à extruder|Après un bourrage dans une presse à extruder, la victime - un emploi et âge non précisés - a ouvert la porte d'accès à la filière. Le contacteur a stoppé le fonctionnement du moteur, mais la victime est intervenue alors que les deux couronnes n'étaient pas immobilisées. A noter une inertie très importante des masses mises en mouvement. La pelle qu'elle utilisait pour son intervention a été entraînée par les pièces et elle a reçu l'outil sur la tête lui occasionnant une plaie. Les lésions sont peu graves par rapport à l'accident survenu.|[]|Opérateur de machine|Homme||Contact avec machines|Contusion|Non|Non|Non|Non|presse à extruder|Défaut de sûreté||Analysé|||
https://epicea.inrs.fr/servlet/public_display?unid=BFA27BBF55F32052C125719D0052145F|8137|E - Chimie, caoutchouc, plasturgie|244CB - Fabrication de produits de base pour la pharmacie, d'alcaloïdes, de glucosides et dérivés, de produits extraits des algues. Fabrication de spécialités pharmaceutiques|051402 - Voiture|La victime - visiteur médical, âgé de 25 ans - a perdu le contrôle de son véhicule. Elle est décédée des suites de l'accident.|[]|visiteur médical|Femme|25.0|Perte de contrôle du véhicule|Décédée|Oui|Non spécifié|Non spécifié|Non|véhicule|||Analysé|||
